FDP LOCATION,FDP DESCRIPTION,FDP INDEX
AW-AGP-00001,AW-AGP-0507-001,001
AW-AGP-00004,AW-AGP-0507-004,001
AW-BOI-00031,AW-BOI-0501-031,001
AW-ARK-00010,AW-ARK-0512-010,001
AW-ARK-00025,AW-ARK-0512-025,001
AW-DRP-00016,AW-DRP-0515-016,001
AW-BOI-00051,AW-BOI-0501-051,001
AW-BOI-00059,AW-BOI-0501-059,001
AW-KDM-00015,AW-KDM-0506-015,001
AW-KDM-00040,AW-KDM-0506-040,001
AW-HOP-00008,AW-HOP-0508-008,001
AW-HOP-00009,AW-HOP-0508-009,001
AW-UKW-00002,AW-UKW-0503-002,001
AW-UKW-00008,AW-UKW-0503-008,001
AW-KDG-00101,AW-KDG-0505-001,001
AW-BOI-00061,AW-BOI-0501-061,001
AW-BOI-00057,AW-BOI-0501-057,001
AW-BOI-00033,AW-BOI-0501-033,001
AW-NFC-00005,AW-NFC-0511-005,001
AW-NFC-00008,AW-NFC-0511-008,001
AW-NFC-00023,AW-NFC-0511-023,001
AW-VMV-00025,AW-VMV-0510-025,001
BG-MST-00005,BG-MST-0507-005,001
BR-BR-00381,BR-DFA-0500-024,001
BR-CUR-00002,BR-CUR-0512-001,001
BR-HTM-00027,BR-HTM-0513-017,001
BT-DRG-00118,BT-DRG-0502-015,001
BT-DLG-00002,BT-DLG-0503-002,001
BT-SNW-00119,BT-SNW-0504-015,001
BT-FMP-00003,BT-FMP-0509-004,001
EH-DFA-00002,EH-DFA-0500-002,001
KHA-NODE,KHA-KHT-0501-001,001
KOM-PAJ-00009,KOM-PAJ-0504-009,001
KOM-SCL-00004,KOM-SCL-0505-004,001
KOM-NCB-00001,KOM-NCB-0502-001,001
KOM-DIS-00002,KOM-DIS-0503-002,001
KE-TCJ-00510,KE-TCJ-0505-010,001
KE-TCJ-00516,KE-TCJ-0505-016,001
KE-HPJ-00504,KE-HPJ-0508-004,001
KE-HPJ-00507,KE-HPJ-0508-007,001
KE-CMB-00501,KE-CMB-0506-001,001
KE-CMB-00503,KE-CMB-0506-003,001
KE-CMB-00504,KE-CMB-0506-004,001
KE-CMB-00512,KE-CMB-0506-012,001
KE-PRG-00003,KE-PRG-509-003,001
KE-SLT-00002,KE-SLT-0507-002,001
KT-FSR-00006,KT-FSR-0510-008,001
KT-KT-00848,KT-DFA-0500-014,001
KT-KCB-00002,KT-KCB-0513-001,001
KT-KCB-00003,KT-KCB-0513-006,001
KT-KCB-00006,KT-KCB-0513-010,001
KT-RJM-00005,KT-RJM-0501-011,001
KT-GDS-00003,KT-GDS-0520-004,001
KT-TPJ-00133,KT-TPJ-0514-005,001
KT-CNJ-00141,KT-CNJ-0526-003,001
KT-RJM-00008,KT-RJM-0501-015,001
KT-RJM-00009,KT-RJM-0501-016,001
KT-VGR-00002,KT-VGR-0528-005,001
KT-KTB-00005,KT-KTB-0519-004,001
KT-KLM-00003,KT-KLM-0525-002,001
KT-KTB-00009,KT-KTB-0519-008,001
MNA-HMR-00502,MNA-HMR-0504-002,001
MNA-HMR-00503,MNA-HMR-0504-003,001
MNA-HMR-00510,MNA-HMR-0504-010,001
MNA-CRJ-00504,MNA-CRJ-0503-004,001
MNA-CRJ-00509,MNA-CRJ-0503-009,001
MNA-NBS-00503,MNA-NBS-0502-003,001
MNA-NBS-00504,MNA-NBS-0502-004,001
MNA-NBS-00507,MNA-NBS-0502-007,001
MNA-NBS-00513,MNA-NBS-0502-013,001
MNA-NRJ-00501,MNA-NRJ-0505-001,001
MNA-DFA-00501,MNA-DFA-0500-001,001
MNA-DFA-00503,MNA-DFA-0500-003,001
MNA-DFA-00509,MNA-DFA-0500-009,001
MNA-GNT-00501,MNA-GNT-0506-001,001
MNA-GNT-00505,MNA-GNT-0506-005,001
MGM-MGM-00376,MGM-MGM-0502-001,001
MGM-MGM-00366,MGM-DFA-0500-005,001
PH-PVR-00006,PH-PVR-0529-014,001
PH-NJW-00098,PH-NJW-0503-033,001
PH-GLT-00030,PH-GLT-0522-026,001
RN-HPJ-00014,RN-HPJ-0505-014,001
RN-BST-00020,RN-BST-0503-020,001
RN-SMW-00013,RN-SMW-0502-013,001
RN-AMG-00004,RN-AMG-0507-004,001
RN-VMW-00503,RN-VMW-0508-003,001
WDW-WDW-01230,WDW-DFA-0500-028,001
WDW-PNR-00025,WDW-PNR-0501-024,001
KR-EDW-00504,KR-EDW-0507-007,001
PE-RHE-00502,PE-RHE-0502-002,001
PE-PCT-00506,PE-PCT-0503-006,001
PE-PET-00504,PE-PET-0501-004,001
DGD-GMD-00003,DGD-GMD-0507-003,001
DGD-GMD-00002,DGD-GMD-0507-001,001
DGD-HES-00126,DGD-DGD-0502-002,001
DGD-DHN-00036,DGD-DHN-0503-002,001
DGD-WIP-00018,DGD-DHN-0504-003,001
