FDP LOCATION,FDP DESCRIPTION,FDP INDEX
MV-KAJ-00032,MV-KAJ-0528-032,001
MV-KAJ-00034,MV-KAJ-0528-034,001
MV-KAJ-00055,MV-KAJ-0528-055,001
MV-KAJ-00060,MV-KAJ-0528-060,001
MV-WLM-00019,MV-WLM-0506-019,001
MV-WLM-00026,MV-WLM-0506-026,001
MV-WLM-00003,MV-WLM-0506-003,001
MV-WLM-00007,MV-WLM-0506-007,001
MV-WLM-00037,MV-WLM-0506-037,001
MV-WLM-00038,MV-WLM-0506-038,001
MV-WLM-00051,MV-WLM-0506-051,001
MV-WLM-00056,MV-WLM-0506-056,001
MV-WLM-00062,MV-WLM-0506-062,001
MV-PKS-00012,MV-PKS-0521-012,001
MV-PKS-00001,MV-PKS-0521-001,001
MV-PKS-00005,MV-PKS-0521-005,001
MV-PKS-00026,MV-PKS-0521-026,001
MV-PKS-00029,MV-PKS-0521-029,001
MV-PKS-00042,MV-PKS-0521-042,001
MV-PKS-00048,MV-PKS-0521-048,001
MV-PKS-00051,MV-PKS-0521-051,001
MV-PKS-00057,MV-PKS-0521-057,001
MV-PKS-00068,MV-PKS-0521-068,001
MV-STM-00018,MV-STM-0543-018,001
MV-STM-00021,MV-STM-0543-021,001
MV-STM-00013,MV-STM-0543-013,001
MV-STM-00024,MV-STM-0543-024,001
MV-STM-00032,MV-STM-0543-032,001
MV-STM-00038,MV-STM-0543-038,001
MV-STM-00048,MV-STM-0543-048,001
MV-STM-00050,MV-STM-0543-050,001
MV-BTJ-00046,MV-BTJ-0514-046,001
MV-BTJ-00016,MV-BTJ-0514-016,001
MV-BTJ-00018,MV-BTJ-0514-018,001
MV-BTJ-00024,MV-BTJ-0514-024,001
MV-BTJ-00028,MV-BTJ-0514-028,001
MV-BTJ-00032,MV-BTJ-0514-032,001
MV-KRJ-00071,MV-KRJ-0533-071,001
MV-KRJ-00041,MV-KRJ-0533-041,001
MV-KRJ-00042,MV-KRJ-0533-042,001
MV-KRJ-00057,MV-KRJ-0533-057,001
MV-AAV-00021,MV-AAV-0522-021,001
MV-MWR-00032,MV-MWR-0526-032,001
MV-MWR-00036,MV-MWR-0526-036,001
MV-BGV-00022,MV-BGV-0504-022,001
MV-BGV-00004,MV-BGV-0504-004,001
MV-BGV-00040,MV-BGV-0504-040,001
MV-BGV-00050,MV-BGV-0504-050,001
MV-BGV-00058,MV-BGV-0504-058,001
MV-BGV-00065,MV-BGV-0504-065,001
MV-BGV-00069,MV-BGV-0504-069,001
MF-BDM-00016,MF-BDM-0508-016,001
