FDP LOCATION,FDP DESCRIPTION,FDP INDEX
JL-NFS-00007,JL-NFS-0533-009,001
JL-ONR-00002,JL-ONR-0512-002,001
JL-ONR-00005,JL-ONR-0512-008,001
JL-ONR-00006,JL-ONR-0512-009,001
JL-ONR-00015,JL-ONR-0512-033,001
JL-LKC-00013,JL-LKC-0515-024,001
JL-TDL-00176,JL-TDL-0506-005,001
JL-TDL-00183,JL-TDL-0506-031,001
JL-TDL-00184,JL-TDL-0506-032,001
JL-TDL-00189,JL-TDL-0506-037,001
JL-TDL-00190,JL-TDL-0506-038,001
JL-ODR-00037,JL-ODR-0532-017,001
JL-UDM-00106,JL-UDM-0501-025,001
JL-UDM-00118,JL-UDM-0501-053,001
JL-UDM-00120,JL-UDM-0501-082,001
JL-PMJ-00008,JL-PMJ-0513-018,001
JL-ODR-00030,JL-ODR-0532-001,001
JL-XVR-00005,JL-XVR-0516-006,001
JL-XVR-00009,JL-XVR-0516-013,001
JL-KWR-00002,JL-KWR-0520-002,001
JL-PLJ-00007,JL-PLJ-0510-019,001
JL-NCR-00002,JL-NCR-0531-001,001
JL-NCR-00003,JL-NCR-0531-002,001
JL-NCR-00007,JL-NCR-0531-021,001
JL-NCR-00010,JL-NCR-0531-030,001
JL-TWN-00002,JL-TWN-0514-001,001
JL-TWN-00004,JL-TWN-0514-003,001
JL-TWN-00009,JL-TWN-0514-009,001
JL-TWN-00021,JL-TWN-0514-030,001
JL-TWN-00022,JL-TWN-0514-032,001
JL-STR-00012,JL-STR-0518-018,001
JL-LBS-00005,JL-LBS-0502-016,001
JL-LBS-00010,JL-LBS-0502-020,001
JL-MNR-00005,JL-MNR-0503-009,001
JL-GLP-00008,JL-GLP-0504-014,001
JL-GLP-00017,JL-GLP-0504-028,001
JL-ARG-00009,JL-ARG-0508-017,001
JL-ARG-00013,JL-ARG-0508-032,001
JL-KDJ-00022,JL-KDJ-0523-040,001
JL-MNW-00009,JL-MNW-0505-014,001
JL-WNM-00004,JL-WNM-0509-005,001
JL-KPU-00003,JL-KPU-0541-001,001
JL-GNP-00010,JL-GNP-0519-008,001
JL-GNP-00013,JL-GNP-0519-014,001
JL-ARG-00015,JL-ARG-0508-012,001
JL-XVR-00012,JL-XVR-0516-005,001
JL-BPT-00022,JL-BPT-0511-002,001
RG-ANH-00003,RG-ANH-0506-009,001
RG-BTW-00518,RG-BTW-0575-018,001
RG-ANK-00514,RG-ANK-0553-014,001
RG-WST-00007,RG-WST-0514-037,001
RG-KLP-00056,RG-KLP-0505-024,001
RG-DFA-00001,RG-DFA-0500-003,001
RG-DFA-00006,RG-DFA-0500-012,001
RG-DFA-00014,RG-DFA-0500-022,001
RG-NWJ-00027,RG-NWJ-0513-054,001
RG-ATM-00006,RG-ATM-0510-009,001
WT-HKR-00076,WT-HKR-0518-109,001
WT-SVL-00004,WT-SVL-0514-003,001
WT-SVL-00006,WT-SVL-0514-008,001
WT-SVL-00011,WT-SVL-0514-015,001
WT-HSR-00003,WT-HSR-0513-003,001
WT-HSR-00007,WT-HSR-0513-007,001
WT-STR-00007,WT-STR-0516-022,001
WT-OHS-00018,WT-OHS-0507-028,001
WT-OHS-00027,WT-OHS-0507-041,001
WT-ALW-00009,WT-ALW-0525-013,001
WT-ALW-00010,WT-ALW-0525-014,001
WT-WSM-00029,WT-WSM-0533-039,001
WT-OGM-00009,WT-OGM-0510-013,001
WT-DGM-00005,WT-DGM-0506-005,001
WT-ACE-00006,WT-ACE-0532-017,001
WT-HKR-00045,WT-HKR-0518-055,001
WT-WLH-00006,WT-WLH-0524-010,001
WT-CAR-00015,WT-CAR-0527-023,001
WT-CAR-00016,WT-CAR-0527-025,001
WT-MCD-00002,WT-MCD-0534-001,001
WT-MCD-00006,WT-MCD-0534-008,001
WT-MCD-00034,WT-MCD-0534-049,001
WT-MCD-00056,WT-MCD-0534-090,001
WT-HKR-00032,WT-HKR-0518-075,001
WT-HKR-00036,WT-HKR-0518-083,001
WT-ATL-00006,WT-ATL-0502-010,001
WT-SAS-00011,WT-SAS-0503-014,001
WT-MRD-00011,WT-MRD-0567-014,001
WT-MRD-00018,WT-MRD-0567-027,001
WT-AND-00003,WT-AND-0572-003,001
WT-AND-00013,WT-AND-0572-025,001
WT-CRM-00011,WT-CRM-0569-017,001
WT-GWT-00003,WT-GWT-0575-006,001
WT-EKS-00007,WT-EKS-0560-008,001
WT-EKS-00009,WT-EKS-0560-011,001
WT-EKS-00011,WT-EKS-0560-014,001
WT-EDC-00023,WT-EDC-0556-034,001
WT-GGT-00035,WT-GGT-0561-006,001
WT-GGT-00037,WT-GGT-0561-010,001
WT-JKE-00003,WT-JKE-0557-003,001
WT-EDJ-00002,WT-EDJ-0555-001,001
WT-EDJ-00020,WT-EDJ-0555-027,001
WT-EDJ-00026,WT-EDJ-0555-037,001
WT-EDC-00008,WT-EDC-0556-013,001
WT-TEM-00007,WT-TEM-0553-009,001
WT-TEM-00008,WT-TEM-0553-014,001
WT-DLU-00003,WT-DLU-0548-004,001
WT-DLU-00005,WT-DLU-0548-011,001
WT-ALI-00015,WT-ALI-0551-017,001
WT-NTU-00020,WT-NTU-0558-005,001
WT-NTU-00021,WT-NTU-0558-007,001
WT-NTU-00022,WT-NTU-0558-009,001
WT-SIM-00003,WT-SIM-0552-003,001
WT-EDC-00020,WT-EDC-0556-031,001
WT-EDC-00014,WT-EDC-0556-023,001
WT-EDC-00016,WT-EDC-0556-026,001
WT-ATR-00008,WT-ATR-0517-014,001
WT-CNR-00002,WT-CNR-0521-001,001
WT-NMR-00011,WT-NMR-0523-020,001
WT-NMR-00021,WT-NMR-0523-036,001
WT-NMR-00026,WT-NMR-0523-042,001
WT-NMR-00027,WT-NMR-0523-044,001
WT-MTG-00106,WT-MTG-0535-011,001
WT-DIP-00059,WT-DIP-0546-010,001
WT-NRH-00007,WT-NRH-0544-013,001
WT-ROS-00026,WT-ROS-0554-036,001
WT-PAD-00007,WT-PAD-0547-013,001
WT-ELK-00140,WT-ELK-0536-008,001
WT-ELK-00153,WT-ELK-0536-022,001
WT-RJM-00004,WT-RJM-0537-004,001
WT-GUM-00003,WT-GUM-0542-004,001
WT-WEK-00003,WT-WEK-0538-003,001
WT-WEK-00010,WT-WEK-0538-018,001
WT-WEK-00012,WT-WEK-0538-022,001
