FDP LOCATION,FDP DESCRIPTION,FDP INDEX
JL-NFS-00008,JL-NFS-0533-010,001
JL-NFS-00012,JL-NFS-0533-015,001
JL-NFS-00013,JL-NFS-0533-016,001
JL-ONR-00004,JL-ONR-0512-005,001
JL-ONR-00011,JL-ONR-0512-021,001
JL-LKC-00002,JL-LKC-0515-002,001
JL-LKC-00006,JL-LKC-0515-012,001
JL-LKC-00007,JL-LKC-0515-015,001
JL-LKC-00009,JL-LKC-0515-018,001
JL-LKC-00011,JL-LKC-0515-021,001
JL-LKC-00012,JL-LKC-0515-022,001
JL-RUK-00006,JL-RUK-0507-010,001
JL-RUK-00011,JL-RUK-0507-019,001
JL-RUK-00012,JL-RUK-0507-020,001
JL-RUK-00030,JL-RUK-0507-051,001
JL-RUK-00031,JL-RUK-0507-052,001
JL-TDL-00177,JL-TDL-0506-008,001
JL-TDL-00181,JL-TDL-0506-016,001
JL-TDL-00187,JL-TDL-0506-035,001
JL-UDM-00121,JL-UDM-0501-083,001
JL-PMJ-00003,JL-PMJ-0513-009,001
JL-PMJ-00009,JL-PMJ-0513-021,001
JL-PMJ-00013,JL-PMJ-0513-031,001
JL-PLJ-00003,JL-PLJ-0510-008,001
JL-PLJ-00005,JL-PLJ-0510-013,001
JL-PLJ-00009,JL-PLJ-0510-023,001
JL-STR-00016,JL-STR-0518-029,001
JL-LBS-00006,JL-LBS-0502-017,001
JL-LBS-00007,JL-LBS-0502-018,001
JL-LBS-00008,JL-LBS-0502-022,001
JL-LBS-00011,JL-LBS-0502-019,001
JL-SMW-00010,JL-SMW-0530-023,001
JL-ARG-00010,JL-ARG-0508-018,001
JL-KDJ-00014,JL-KDJ-0523-021,001
JL-MNW-00007,JL-MNW-0505-011,001
JL-MNW-00013,JL-MNW-0505-032,001
JL-WNM-00011,JL-WNM-0509-019,001
JL-MNW-00002,JL-MNW-0505-002,001
JL-HTJ-00008,JL-HTJ-0536-007,001
JL-KPU-00005,JL-KPU-0541-003,001
JL-KPU-00011,JL-KPU-0541-010,001
JL-KPU-00014,JL-KPU-0541-016,001
JL-KPU-00016,JL-KPU-0541-018,001
JL-KPU-00017,JL-KPU-0541-019,001
JL-KPU-00020,JL-KPU-0541-023,001
JL-KPU-00021,JL-KPU-0541-024,001
JL-GNP-00009,JL-GNP-0519-005,001
JL-GNP-00011,JL-GNP-0519-009,001
JL-GNP-00015,JL-GNP-0519-016,001
JL-XVR-00011,JL-XVR-0516-004,001
JL-BPT-00024,JL-BPT-0511-004,001
JL-BPT-00029,JL-BPT-0511-012,001
JL-BPT-00030,JL-BPT-0511-026,001
JL-BPT-00032,JL-BPT-0511-028,001
RG-NWG-00541,RG-NWG-0552-041,001
RG-NWG-00548,RG-NWG-0552-048,001
RG-DMB-00501,RG-DMB-0571-001,001
RG-DMB-00502,RG-DMB-0571-002,001
RG-DMB-00504,RG-DMB-0571-004,001
RG-DMB-00505,RG-DMB-0571-005,001
RG-DMB-00509,RG-DMB-0571-009,001
RG-DMB-00513,RG-DMB-0571-013,001
RG-DMB-00516,RG-DMB-0571-016,001
RG-ATK-00507,RG-ATK-0559-007,001
RG-ATK-00510,RG-ATK-0559-010,001
RG-ATK-00511,RG-ATK-0559-011,001
RG-ATK-00514,RG-ATK-0559-014,001
RG-ATK-00517,RG-ATK-0559-017,001
RG-ATK-00520,RG-ATK-0559-020,001
RG-ATK-00522,RG-ATK-0559-022,001
RG-ATK-00523,RG-ATK-0559-023,001
RG-ATK-00524,RG-ATK-0559-024,001
RG-ATK-00526,RG-ATK-0559-026,001
RG-ATK-00527,RG-ATK-0559-027,001
RG-ATK-00529,RG-ATK-0559-029,001
RG-ATK-00533,RG-ATK-0559-033,001
RG-ATK-00536,RG-ATK-0559-036,001
RG-ATK-00540,RG-ATK-0559-040,001
RG-TEM-00502,RG-TEM-0560-002,001
RG-TEM-00503,RG-TEM-0560-003,001
RG-TEM-00504,RG-TEM-0560-004,001
RG-TEM-00512,RG-TEM-0560-012,001
RG-TEM-00513,RG-TEM-0560-013,001
RG-TEM-00515,RG-TEM-0560-015,001
RG-BTW-00504,RG-BTW-0575-004,001
RG-BTW-00506,RG-BTW-0575-006,001
RG-BTW-00508,RG-BTW-0575-008,001
RG-BTW-00513,RG-BTW-0575-013,001
RG-BTW-00519,RG-BTW-0575-019,001
RG-ANK-00502,RG-ANK-0553-002,001
RG-ANK-00506,RG-ANK-0553-006,001
RG-ANK-00507,RG-ANK-0553-007,001
RG-ANK-00509,RG-ANK-0553-009,001
RG-ANK-00511,RG-ANK-0553-011,001
RG-ANK-00513,RG-ANK-0553-013,001
RG-WST-00027,RG-WST-0514-072,001
RG-NWG-00514,RG-NWG-0552-014,001
RG-NWG-00520,RG-NWG-0552-020,001
RG-NWG-00532,RG-NWG-0552-032,001
RG-NWG-00537,RG-NWG-0552-037,001
RG-DFA-00503,RG-DFA-0550-003,001
RG-DFA-00505,RG-DFA-0550-005,001
RG-DFA-00515,RG-DFA-0550-015,001
RG-DFA-00523,RG-DFA-0550-023,001
RG-DFA-00525,RG-DFA-0550-025,001
RG-DFA-00526,RG-DFA-0550-026,001
RG-DFA-00527,RG-DFA-0550-027,001
RG-DFA-00528,RG-DFA-0550-028,001
RG-PPR-00503,RG-PPR-0562-003,001
RG-PPR-00512,RG-PPR-0562-012,001
RG-PPR-00517,RG-PPR-0562-017,001
RG-PPR-00518,RG-PPR-0562-018,001
RG-PLD-00503,RG-PLD-0555-003,001
RG-PLD-00505,RG-PLD-0555-005,001
RG-PLD-00511,RG-PLD-0555-011,001
RG-PSR-00510,RG-PSR-0573-010,001
RG-PSR-00522,RG-PSR-0573-022,001
RG-PSR-00523,RG-PSR-0573-023,001
RG-BGM-00501,RG-BGM-0556-001,001
RG-BGM-00506,RG-BGM-0556-006,001
RG-BGM-00511,RG-BGM-0556-011,001
RG-SMM-00501,RG-SMM-0551-001,001
RG-SMM-00506,RG-SMM-0551-006,001
RG-NWV-00502,RG-NWV-0554-002,001
RG-NWV-00505,RG-NWV-0554-005,001
RG-NWV-00507,RG-NWV-0554-007,001
RG-NWV-00511,RG-NWV-0554-011,001
RG-NWV-00512,RG-NWV-0554-012,001
RG-NWV-00513,RG-NWV-0554-013,001
RG-NWV-00518,RG-NWV-0554-018,001
RG-NWV-00519,RG-NWV-0554-019,001
RG-JSR-00504,RG-JSR-0557-004,001
RG-JSR-00506,RG-JSR-0557-006,001
RG-JSR-00515,RG-JSR-0557-015,001
RG-WST-00016,RG-WST-0514-049,001
RG-WST-00015,RG-WST-0514-048,001
RG-DFA-00007,RG-DFA-0500-014,001
WT-SMI-00003,WT-SMI-0530-008,001
WT-SMI-00004,WT-SMI-0530-009,001
WT-SMI-00006,WT-SMI-0530-013,001
WT-SMI-00008,WT-SMI-0530-015,001
WT-HKR-00058,WT-HKR-0518-033,001
WT-HKR-00062,WT-HKR-0518-037,001
WT-HKR-00069,WT-HKR-0518-098,001
WT-HKR-00070,WT-HKR-0518-099,001
WT-HKR-00073,WT-HKR-0518-104,001
WT-HCS-00002,WT-HCS-0526-001,001
WT-SVL-00007,WT-SVL-0514-009,001
WT-HSR-00009,WT-HSR-0513-009,001
WT-OHS-00002,WT-OHS-0507-001,001
WT-OHS-00012,WT-OHS-0507-019,001
WT-OHS-00014,WT-OHS-0507-024,001
WT-OHS-00016,WT-OHS-0507-026,001
WT-OHS-00017,WT-OHS-0507-027,001
WT-OHS-00024,WT-OHS-0507-038,001
WT-OHS-00025,WT-OHS-0507-039,001
WT-ALW-00008,WT-ALW-0525-010,001
WT-HKR-00052,WT-HKR-0518-092,001
WT-HKR-00053,WT-HKR-0518-093,001
WT-HKR-00054,WT-HKR-0518-094,001
WT-HSR-00022,WT-HSR-0513-016,001
WT-WSM-00019,WT-WSM-0533-027,001
WT-WSM-00021,WT-WSM-0533-029,001
WT-WSM-00025,WT-WSM-0533-035,001
WT-WSM-00028,WT-WSM-0533-038,001
WT-WSM-00015,WT-WSM-0533-022,001
WT-WSM-00008,WT-WSM-0533-009,001
WT-WSM-00010,WT-WSM-0533-012,001
WT-WSM-00014,WT-WSM-0533-020,001
WT-HSR-00016,WT-HSR-0513-019,001
WT-HSR-00017,WT-HSR-0513-020,001
WT-HSR-00018,WT-HSR-0513-021,001
WT-OHS-00032,WT-OHS-0507-004,001
WT-BGC-00004,WT-BGC-0511-007,001
WT-DGM-00002,WT-DGM-0506-001,001
WT-SWR-00006,WT-SWR-0508-005,001
WT-SWR-00010,WT-SWR-0508-013,001
